instId,tradeId,Date,Time,Millisec,side,px,sz,lDate,lTime,lMillisec
ETH-USDT,205613447,20220530,153525,108,buy,1902.04,0.905839,20220530,153525,111
ETH-USDT,205613448,20220530,153530,787,sell,1902.02,0.001098,20220530,153530,792
ETH-USDT,205613449,20220530,153539,593,buy,1901.98,0.064,20220530,153539,597
ETH-USDT,205613450,20220530,153539,593,buy,1901.99,0.026924,20220530,153539,597
ETH-USDT,205613451,20220530,153541,664,sell,1901.94,0.001098,20220530,153541,667
ETH-USDT,205613452,20220530,153541,664,sell,1901.94,1.94726,20220530,153541,667
ETH-USDT,205613453,20220530,153542,908,sell,1901.9,0.015493,20220530,153542,911
ETH-USDT,205613454,20220530,153544,500,buy,1901.91,0.04,20220530,153544,506
ETH-USDT,205613455,20220530,153544,578,sell,1901.91,0.02,20220530,153544,582
ETH-USDT,205613456,20220530,153544,578,sell,1901.91,0.001749,20220530,153544,582
ETH-USDT,205613457,20220530,153544,578,sell,1901.91,0.04,20220530,153544,582
ETH-USDT,205613458,20220530,153544,578,sell,1901.91,0.038873,20220530,153544,582
ETH-USDT,205613459,20220530,153554,807,sell,1901.9,0.08997,20220530,153554,812
ETH-USDT,205613460,20220530,153554,818,sell,1901.86,0.00109,20220530,153554,824
ETH-USDT,205613461,20220530,153554,821,sell,1901.86,8e-06,20220530,153554,827
ETH-USDT,205613462,20220530,153554,831,sell,1901.71,0.041,20220530,153554,837
ETH-USDT,205613463,20220530,153554,851,sell,1901.52,0.041,20220530,153554,857
ETH-USDT,205613464,20220530,153554,851,sell,1901.5,0.026295,20220530,153554,857
ETH-USDT,205613465,20220530,153554,851,sell,1901.43,0.89,20220530,153554,857
ETH-USDT,205613466,20220530,153554,873,sell,1901.36,0.041,20220530,153554,881
ETH-USDT,205613467,20220530,153554,877,sell,1901.36,0.616,20220530,153554,884
ETH-USDT,205613468,20220530,153554,893,sell,1901.33,0.041,20220530,153554,899
ETH-USDT,205613469,20220530,153558,256,sell,1901.47,0.00535,20220530,153558,261
ETH-USDT,205613470,20220530,153600,843,buy,1901.49,0.002271,20220530,153600,849
ETH-USDT,205613471,20220530,153600,843,buy,1901.49,0.001314,20220530,153600,849
ETH-USDT,205613472,20220530,153600,843,buy,1901.52,0.041,20220530,153600,849
ETH-USDT,205613473,20220530,153600,843,buy,1901.71,0.041,20220530,153600,849
ETH-USDT,205613474,20220530,153600,843,buy,1901.74,0.159,20220530,153600,849
ETH-USDT,205613475,20220530,153601,581,sell,1901.84,0.387,20220530,153601,586
ETH-USDT,205613476,20220530,153601,581,sell,1901.52,0.041,20220530,153601,586
ETH-USDT,205613477,20220530,153601,581,sell,1901.5,0.079297,20220530,153601,587
ETH-USDT,205613478,20220530,153601,581,sell,1901.49,2.62878,20220530,153601,587
ETH-USDT,205613479,20220530,153601,581,sell,1901.49,0.001999,20220530,153601,587
ETH-USDT,205613480,20220530,153601,581,sell,1901.49,0.15,20220530,153601,587
ETH-USDT,205613481,20220530,153601,581,sell,1901.48,1.38386,20220530,153601,587
ETH-USDT,205613482,20220530,153601,581,sell,1901.48,2.6,20220530,153601,587
ETH-USDT,205613483,20220530,153601,581,sell,1901.48,1.04,20220530,153601,587
ETH-USDT,205613484,20220530,153601,581,sell,1901.44,0.034166,20220530,153601,587
ETH-USDT,205613485,20220530,153601,581,sell,1901.42,0.009093,20220530,153601,587
ETH-USDT,205613486,20220530,153601,581,sell,1901.41,0.22,20220530,153601,587
ETH-USDT,205613487,20220530,153601,581,sell,1901.41,0.657,20220530,153601,588
ETH-USDT,205613488,20220530,153601,581,sell,1901.33,0.041,20220530,153601,588
ETH-USDT,205613489,20220530,153601,581,sell,1901.31,0.31,20220530,153601,588
ETH-USDT,205613490,20220530,153601,581,sell,1901.28,1.38386,20220530,153601,588
ETH-USDT,205613491,20220530,153601,581,sell,1901.28,1.04,20220530,153601,588
ETH-USDT,205613492,20220530,153601,581,sell,1901.24,1.577,20220530,153601,588
ETH-USDT,205613493,20220530,153601,581,sell,1901.23,0.031558,20220530,153601,588
